,participating_rxn_id,subsystem,enz_usage_flux_lipid
0,draw_prot_A2P2R3,Enzyme usage,0.0
1,r_0477No1,"Alanine, aspartate and glutamate metabolism",0.0
2,draw_prot_O13525,Enzyme usage,0.0
3,r_0532No1,Ubiquinone and other terpenoid-quinone biosynthesis,0.0
4,r_0963No1,Ubiquinone and other terpenoid-quinone biosynthesis,0.0
5,r_0022No1,Ubiquinone and other terpenoid-quinone biosynthesis,0.0
6,r_0985No1,Ubiquinone and other terpenoid-quinone biosynthesis,0.0
7,r_0021No1,Ubiquinone and other terpenoid-quinone biosynthesis,0.0
8,r_0001No4,Pyruvate metabolism,0.0
9,r_0004No2,Pyruvate metabolism,0.0
10,r_0437No2,Oxidative phosphorylation,0.0
11,r_0001No2,Pyruvate metabolism,0.0
12,draw_prot_P00044,Enzyme usage,0.0
13,r_0002No2,Pyruvate metabolism,0.0
14,r_0001No3,Pyruvate metabolism,0.0
15,r_0001No1,Pyruvate metabolism,0.0
16,draw_prot_P00045,Enzyme usage,0.0
17,r_0004No1,Pyruvate metabolism,0.0
18,r_0437No1,Oxidative phosphorylation,0.0
19,r_0002No1,Pyruvate metabolism,0.0
20,r_0439No1,Oxidative phosphorylation,-7.971895139075045e-06
21,draw_prot_P00127,Enzyme usage,-7.971895139075045e-06
22,r_0439No1,Oxidative phosphorylation,-7.971895139075045e-06
23,draw_prot_P00128,Enzyme usage,-7.971895139075045e-06
24,r_0439No1,Oxidative phosphorylation,-7.971895139075045e-06
25,draw_prot_P00163,Enzyme usage,-7.971895139075045e-06
26,r_0004No1,Pyruvate metabolism,0.0
27,draw_prot_P00175,Enzyme usage,0.0
28,r_0004No2,Pyruvate metabolism,0.0
29,r_4652No3,Fatty acid ester pathway,4.168495524327915e-06
30,r_0169No3,Phenylalanine metabolism,4.168495524327915e-06
31,r_0179No3,Complex alcohol metabolism,4.168495524327915e-06
32,r_0166No3,Complex alcohol metabolism,4.168495524327915e-06
33,r_4661No3,Fatty acid ester pathway,4.168495524327915e-06
34,r_0182No3,Complex alcohol metabolism,4.168495524327915e-06
35,r_0186No3,Tyrosine metabolism,4.168495524327915e-06
36,draw_prot_P00330,Enzyme usage,4.168495524327915e-06
37,r_2115No2,Glycolysis / gluconeogenesis,4.168495524327915e-06
38,r_4670No3,Fatty acid ester pathway,4.168495524327915e-06
39,r_0163No1,Glycolysis / gluconeogenesis,0.0
40,draw_prot_P00331,Enzyme usage,0.0
41,r_0486No3,Glycolysis / gluconeogenesis,0.0
42,draw_prot_P00358,Enzyme usage,0.0
43,r_0486_REVNo3,Glycolysis / gluconeogenesis,0.0
44,draw_prot_P00359,Enzyme usage,0.0
45,r_0486No1,Glycolysis / gluconeogenesis,0.0
46,r_0486_REVNo1,Glycolysis / gluconeogenesis,0.0
47,draw_prot_P00360,Enzyme usage,0.00010732222184671605
48,r_0486_REVNo2,Glycolysis / gluconeogenesis,0.00010732222184671605
49,r_0486No2,Glycolysis / gluconeogenesis,0.00010732222184671605
50,r_0438No5,Oxidative phosphorylation,-2.5288582576368114e-06
51,draw_prot_P00401,Enzyme usage,-2.5288582576368114e-06
52,r_0438No1,Oxidative phosphorylation,-2.5288582576368114e-06
53,r_0438No5,Oxidative phosphorylation,-2.5288582576368114e-06
54,draw_prot_P00410,Enzyme usage,-2.5288582576368114e-06
55,r_0438No1,Oxidative phosphorylation,-2.5288582576368114e-06
56,r_0438No5,Oxidative phosphorylation,-2.528858257636812e-06
57,draw_prot_P00420,Enzyme usage,-2.528858257636812e-06
58,r_0438No1,Oxidative phosphorylation,-2.528858257636812e-06
59,draw_prot_P00425,Enzyme usage,-2.528858257636811e-06
60,r_0438No1,Oxidative phosphorylation,-2.528858257636811e-06
61,draw_prot_P00427,Enzyme usage,-2.528858257636811e-06
62,r_0438No1,Oxidative phosphorylation,-2.528858257636811e-06
63,r_0437No1,Oxidative phosphorylation,0.0
64,draw_prot_P00431,Enzyme usage,0.0
65,r_0437No2,Oxidative phosphorylation,0.0
66,draw_prot_P00445,Enzyme usage,0.0
67,r_4270No1,Superoxide metabolism,0.0
68,r_4190No1,Superoxide metabolism,0.0
69,draw_prot_P00447,Enzyme usage,0.0
70,draw_prot_P00498,Enzyme usage,-3.2440850592960856e-06
71,r_0225No1,Histidine metabolism,-3.2440850592960856e-06
72,draw_prot_P00549,Enzyme usage,1.378020865315465e-05
73,r_0962No1,Glycolysis / gluconeogenesis,1.378020865315465e-05
74,draw_prot_P00560,Enzyme usage,5.799084449321583e-06
75,r_0892_REVNo1,Glycolysis / gluconeogenesis,5.799084449321583e-06
76,r_0892No1,Glycolysis / gluconeogenesis,5.799084449321583e-06
77,r_0363No1,Pyrimidine metabolism,0.0
78,draw_prot_P00572,Enzyme usage,0.0
79,draw_prot_P00635,Enzyme usage,0.0
80,r_0116No1,Riboflavin metabolism,0.0
81,r_1024No1,Starch and sucrose metabolism,0.0
82,draw_prot_P00724,Enzyme usage,0.0
83,draw_prot_P00812,Enzyme usage,0.0
84,r_0206No1,Arginine biosynthesis,0.0
85,r_0909No1,Histidine metabolism,-2.563856424452143e-07
86,r_0910No1,Histidine metabolism,-2.563856424452143e-07
87,draw_prot_P00815,Enzyme usage,-2.563856424452143e-07
88,r_0536No1,Histidine metabolism,-2.563856424452143e-07
89,draw_prot_P00817,Enzyme usage,0.0
90,r_0568No1,Oxidative phosphorylation,0.0
91,draw_prot_P00830,Enzyme usage,-1.730835926900709e-07
92,r_0226No1,Oxidative phosphorylation,-1.730835926900709e-07
93,r_0226No2,Oxidative phosphorylation,-1.730835926900709e-07
94,draw_prot_P00854,Enzyme usage,-5.625178488467915e-07
95,r_0226No1,Oxidative phosphorylation,-5.625178488467915e-07
96,r_0226No2,Oxidative phosphorylation,-5.625178488467915e-07
97,draw_prot_P00856,Enzyme usage,-5.625178488467915e-07
98,r_0226No1,Oxidative phosphorylation,-5.625178488467915e-07
